step_id,label,what_is_it,what_can_you_get,what_else_should_i_know,what_are_the_ids,source_url
nation,The Nation,"Not surprisingly, the broadest geographic unit is the entire country",Decennial Census totals and ACS estimates for all samples,National level downloads include data for all 50 states and Washington D.C. (not Puerto Rico or other territories which will need separate extraction). ,"No FIPS code, summary level 010",
region-division,Regions & Divisions,"The Census divides the 50 states into four regions, which in turn are comprised by a total of 12 regions.",Decennial Census totals and ACS estimates for all samples,These definitions are generally persistent and primarily used by the Census itself to represent what they consider to be socioeconomically and culturally coherent areas.  Your mileage will vary. ,"No FIPS code, summary level 020 (region) and 030 (division)",
state,States,The first level administrative districts in the US.,Decennial Census totals and ACS estimates for all samples,The 50 states and Washington DC. These tend to be persistent.  U.S. Territories use the same leading 2 digit FIPS code and tend to be treated the same way in most databases. ,"2 digit FIPS code (NY is 36), summary level 040",
county,Counties,The second level administrative districts.,Decennial Census totals and ACS 5-year samples. 1 year samples for larger counties.,"These tend to be persistent.  Nest in and wholly comprise states (including water surfaces).  Counties range very widely in population (from less than 100 to almost 10 million) so ACS 1 and 3 year samples are only available for larger counties. Second level administrative units that are no counties (for example, parishes in Louisiana) will still be here.","5 digit FIPS code including state code (New York County is 36061) , summary level 050",
congressional-district,Congressional Districts,US House of Representatives political districts,Decennial Census totals and ACS estimates for all samples,"The Decennial Census is used to inform the delineation of Congressional (and other state legislative) districts, and also uses extant districts to release summaries.  Congressional Districts by law will have roughly similar populations (currently over 700,000 people) and are redrawn at least every 10 years.  As of the writing of this page, Congressional redistricting is becoming more common.  State legislative district summaries also available. ","4 digit FIPS code (NYs northernmost CD is 3621), summary level 500",
place,Places,"A population concentration, often a municipality, that the census designates or recognizes. ",Decennial Census totals and ACS 5-year samples. 1 year samples for larger places.,"These may or may not be persistent.  Nest in states (including water surfaces).   The Census divides this geography into two categories, incorporated places and census-designated places.   This is what you would typically use for extracting data by municipalities or cities, not metropolitan areas.  Places range very widely in population so ACS 1 and 3 year samples are only available for larger places.  Places do not overlap or cross state lines.  Not all areas or populations are in a place. ","7 digit FIPS code (NYC is 3651000), summary level 160",
nyc,New York City,,,,,
puma,PUMAs,Census designated neighborhoods used for microdata samples,"Decennial Census totals and ACS estimates for all samples, including microdata extracts","Public Use Microdata Samples (PUMAs) are census derived neighborhoods that are created for the use of microdata samples, although census and ACS summary data are available as well.  PUMAs have a population of typically between 100,000 - 200,000 people and nest within states.  They may change every 10 years and their area may vary widely with population density.  In NYC PUMA boundaries are usually drawn to match up relatively closely to Community District planning areas and CDTAs. ","7 digit FIPS code (example is 3604109), summary level 795",
nta-cdta,NTAs and CDTAs,New York City Planning Department designated neighborhood constructs,Decennial Census totals and ACS 5-year samples. ,"These neighborhood constructs are aggregations of census tracts as designated by NYC Planning to approximate neighborhood units.  Neighborhood Tabulation Areas (NTAs) are meant to approximate vernacular neighborhoods in the city that have names that residents would understand and boundaries that would be coherent. They tend to have similar populations of some few tens of thousands of people and are comprised of typically 8 or 9 census tracts. Community District Tabulation Areas (CDTAs) are aggregations of NTAs that are meant to approximate NYC Planning Community District planning areas, which are widely used by city agencies.  There are 59 of these and they tend to have a population of over 100,000 people and are comprised of typically 3-4 NTAs.  Individual CDTAs usually have a reasonably close match to a census PUMA district, which may allow researchers to use microdata samples for CDTA approximations.","NTAs have 4-6 digit alphanumeric code (example is MN0901), CDTAs have 4 digit alphanumeric code (example is MN09)",https://geodata.library.columbia.edu/catalog/cul-nyc-tracts-2020
zcta,ZCTAs,Aerial approximations of USPS Zip Code designations,Decennial Census totals and ACS 5-year samples. ,"Zip codes as used by the United States Postal Service have no official aerial definition (they are lists of mailing addresses).  However, they are commonly for neighborhood analysis, especially for business research.  Thus, since 2000 the census department has created Zip Code Tabulation Areas (ZCTAs) to approximate these areas and they are updated every 10 years. They vary widely in population, but are typically thousands or tens of thousands in size. Their relation to current zip codes may vary from USPS usage (which also may change at any time).  They may split census trats and span county or state boundaries. Unless using extant data at the zip code level, researchers may be advised to consider tracts as a neighborhood unit. ","5 digit code matching USPS designation (example is 10027), summary level 860",
tract,Census Tracts,Census Department designed neighborhoods of a few thousand people,Decennial Census totals and ACS 5-year samples. ,"Census tracts are likely the best known and most widely used of the ""neighborhood"" level census geographies. Tracts are delineated by the census department and may change every 10 years in conjunction with the Decennial Census. They are designed to contain roughly 4000 people (typical range of 1,000-8,000) and thus the size will vary widely depending on population density.  ","11 digit FIPS code (example tract is 36061020500), summary level 140",https://www.census.gov/programs-surveys/geography/about/glossary.html
block-group,Block Groups,Census Department designed neighborhoods of a few hundred or thousand people.,Decennial Census totals and ACS 5-year samples (usually). ,"There are typically between 1-9 block groups per tract, with a typical population of around 600-3000 people.  Like tracts these may change every 10 years. The ACS provides 5-year estimates at the block group data.  However, use of these estimates is sometimes controversial; estimates may be highly uncertain at this scale.  In many cases, data may be suppressed because of small sample size.","12 digit FIPS code (example tract is 360610205001), summary level 140",https://www.census.gov/programs-surveys/geography/about/glossary.html
block,Census Blocks,The smallest census unit and the building block of all other geographies. ,Decennial Census totals.,"This is the most atomistic census geography and the aggregates of all other geographies.  Blocks can comprise city blocks, but may also be much smaller than that and boundaries may be derived from a variety of different features.  Populations may be as small as zero. Only tabulations from the full decennial census enumeration are available at the block level. ","15 digit FIPS code (example tract is 360610205001011), summary level 101",https://www.census.gov/programs-surveys/geography/about/glossary.html
